Gyroscope_x,Gyroscope_y,Gyroscope_z,Gyroscope_t,Gravity_x,Gravity_y,Gravity_z,Gravity_t,Magnetic_Field_x,Magnetic_Field_y,Magnetic_Field_z,Magnetic_Field_t
-0.20787048, -0.075027466, 0.14141846, 0.0, -1.0964473, 1.1032197, 9.682515, 0.0, -21.733093, -39.918518, 9.466553, 0.0, 
-0.28141785, -0.22991943, -0.008453369, 0.20141602, -0.87781143, 1.2883298, 9.681944, 0.1953125, -21.910095, -39.414978, 9.1796875, 0.20141602, 
-0.2896881, -0.0055999756, -0.20359802, 0.40283203, -0.3576855, 0.9844618, 9.750553, 0.390625, -20.68634, -39.308167, 8.035278, 0.40283203, 
-0.3182373, 0.1098938, 0.014587402, 0.60424805, -0.48998648, 0.41002122, 9.785815, 0.58203125, -19.706726, -39.6286, 5.5862427, 0.60424805, 
0.03692627, 0.53393555, 0.01713562, 0.80566406, -0.71955734, -0.38349113, 9.772695, 0.77734375, -21.266174, -37.20703, 4.536438, 0.80566406, 
1.3148193, 3.9425964, -1.4442139, 1.0070801, -1.5902097, -0.42880303, 9.667355, 0.97265625, -15.7196045, -42.16919, 2.581787, 1.0070801, 
1.0152283, 2.1605072, -4.6056366, 1.2084961, -7.389125, 0.35392493, 6.437854, 1.1640625, 10.137939, -45.895386, 5.2352905, 1.2084961, 
0.7577057, -2.242157, -0.591095, 1.4099121, -7.8248363, -5.8301177, 0.9757285, 1.359375, 22.973633, -37.878418, -0.67596436, 1.4099121, 
0.41529846, 2.6788177, 0.81466675, 1.6113281, -5.0749483, -6.6729956, 5.0878696, 1.5585938, 17.210388, -42.50641, 10.517883, 1.6113281, 
-0.82092285, 1.033905, -0.27890015, 1.8127441, -7.8503647, -5.5123563, 2.0386498, 1.7539063, 13.616943, -44.078064, 10.238647, 1.8127441, 
1.3329163, 1.6847687, -1.4977722, 2.0141602, -7.3529096, -6.315528, -1.4897051, 2.0117188, 22.303772, -37.878418, 12.68158, 2.0141602, 
1.0431976, 1.9603729, -3.9208374, 2.2155762, -5.073958, -8.369368, -0.615645, 2.2070313, 20.269775, -14.086914, 29.789734, 2.2155762, 
-0.20812988, 0.14546204, 0.29925537, 2.4169922, 1.7379843, -9.604191, 0.95357853, 2.3984375, 14.251709, -12.733459, 31.066895, 2.4169922, 
-0.042312622, 0.3121338, 0.10179138, 2.6184082, 1.2205443, -9.713478, 0.5735792, 2.59375, 12.986755, -13.897705, 32.766724, 2.6184082, 
-0.107055664, 0.3695526, -0.023666382, 2.8198242, 1.0362176, -9.735349, 0.56535184, 2.7890625, 10.803223, -14.009094, 33.461, 2.8198242, 
-0.099227905, 0.24725342, -0.21080017, 3.0212402, 1.0858365, -9.737029, 0.42616472, 2.984375, 9.735107, -13.578796, 33.042908, 3.0212402, 
-0.2348175, 0.98994446, -0.47158813, 3.2226563, 1.0702475, -9.656856, -1.3304505, 5.375, 5.873108, -13.084412, 36.940002, 3.2226563, 
-1.0115814, 1.5729828, -0.5015869, 3.4240723, 1.8177307, -9.575948, 1.0804993, 5.5703125, -3.1692505, -17.601013, 39.2334, 3.4240723, 
-1.9451904, 3.0862122, 1.4292908, 3.6254883, 1.1359513, -9.286967, -2.9380672, 5.7617188, -32.32727, -31.845093, 40.37323, 3.6254883, 
-2.2207794, 2.3376617, 0.86668396, 3.8269043, 1.8648394, -6.9510393, -6.6615176, 5.9570313, -44.49005, -27.366638, -3.1707764, 3.8269043, 
1.2230377, -0.29048157, 0.42362976, 4.0283203, 0.93585336, -9.029045, -3.7109165, 6.2148438, -39.439392, -24.85962, -2.2125244, 4.0283203, 
2.1169128, -0.385437, -0.16880798, 4.2297363, 0.93512535, -9.76034, 0.1780399, 6.4101563, -42.826843, -25.636292, 5.0994873, 4.2297363, 
1.1992798, -0.3914032, -0.09916687, 4.4311523, 1.3730264, -9.669658, 0.8848175, 6.6054688, -42.47284, -23.38562, 12.60376, 4.4311523, 
-2.5937653, -0.23797607, 0.55752563, 4.6325684, 0.5258447, -8.772445, -4.351791, 6.796875, -40.20233, -25.309753, 9.912109, 4.6325684, 
-2.470459, 1.1835785, 0.47756958, 4.8339844, 1.3675766, -8.334448, -4.9836826, 6.9921875, -41.841125, -25.662231, -2.4627686, 4.8339844, 
1.3240051, -0.59477234, 0.33106995, 5.0354004, 1.2274119, -9.532877, 1.9463071, 7.5742188, -39.616394, -27.236938, -1.7333984, 5.0354004, 
2.3705597, -1.68396, -0.23843384, 5.2368164, -0.14442936, -9.220299, -3.3370073, 8.348082, -44.0567, -21.455383, 12.3550415, 5.2368164, 
0.9999237, -1.036972, -0.32281494, 5.4382324, -0.017579587, -8.736226, -4.4551587, 8.543394, -37.23297, -20.420837, 23.698425, 5.4382324, 
-3.035431, 0.03276062, 0.5730133, 5.6396484, -1.0094063, -9.741799, -0.4988456, 8.801207, -38.05237, -27.868652, 19.215393, 5.6396484, 
-0.91485596, 1.5274963, 0.500412, 5.8410645, 0.28166625, -9.214257, 3.3449242, 8.996519, -40.03601, -30.169678, 2.9083252, 5.8410645, 
1.2910156, -0.66477966, 0.46170044, 6.0424805, 0.110340364, -9.729308, 1.2242447, 9.187925, -41.0614, -29.351807, 5.290222, 6.0424805, 
2.1068115, -1.4149933, -0.16290283, 6.2438965, -0.81451124, -8.731372, -4.389772, 9.383238, -39.030457, -24.136353, 19.848633, 6.2438965, 
0.20701599, -0.52001953, -0.16899109, 6.4453125, -1.0086716, -8.896313, -4.0010724, 9.57855, -34.93042, -22.25647, 27.337646, 6.4453125, 
-3.1735535, 0.9619751, 0.8598633, 6.6467285, -1.6306775, -9.642784, 0.7266342, 9.773863, -38.024902, -31.175232, 13.33313, 6.6467285, 
